id	type	text
"2486_3"	0	"What happens when an army of wetbacks, towelheads, and Godless Eastern European commies gather their forces south of the border? Gary Busey kicks their butts, of course. Another laughable example of Reagan-era cultural fallout, Bulletproof wastes a decent supporting cast headed by L Q Jones and Thalmus Rasulala."
"6811_10"	1	"Although I generally do not like remakes believing that remakes are waste of time; this film is an exception. I didn't actually know so far until reading the previous comment that this was a remake, so my opinion is purely about the actual film and not a comparison.<br /><br />The story and the way it is written is no question: it is Capote. There is no need for more words.<br /><br />The play of Anthony Edwards and Eric Roberts is superb. I have seen some movies with them, each in one or the other. I was certain that they are good actors and in case of Eric I always wondered why his sister is the number 1 famous star and not her brother. This time this certainty is raised to fact, no question. His play, just as well as the play of Mr. Edwards is clearly the top of all their profession.<br /><br />I recommend this film to be on your top 50 films to see and keep on your DVD shelves."
"11744_9"	1	"\"Mr. Harvey Lights a Candle\" is anchored by a brilliant performance by Timothy Spall.<br /><br />While we can predict that his titular morose, up tight teacher will have some sort of break down or catharsis based on some deep down secret from his past, how his emotions are unveiled is surprising. Spall's range of feelings conveyed is quite moving and more than he usually gets to portray as part of the Mike Leigh repertory.<br /><br />While an expected boring school bus trip has only been used for comic purposes, such as on \"The Simpsons,\" this central situation of a visit to Salisbury Cathedral in Rhidian Brook's script is well-contained and structured for dramatic purposes, and is almost formally divided into acts.<br /><br />We're introduced to the urban British range of racially and religiously diverse kids (with their uniforms I couldn't tell if this is a \"private\" or \"public\" school), as they gather  the rapping black kids, the serious South Asians and Muslims, the white bullies and mean girls  but conveyed quite naturally and individually. The young actors, some of whom I recognized from British TV such as \"Shameless,\" were exuberant in representing the usual range of junior high social pressures. Celia Imrie puts more warmth into the supervisor's role than the martinets she usually has to play.<br /><br />A break in the trip leads to a transformative crisis for some while others remain amusingly oblivious. We think, like the teacher portrayed by Ben Miles of \"Coupling,\" that we will be spoon fed a didactic lesson about religious tolerance, but it's much more about faith in people as well as God, which is why the BBC showed it in England at Easter time and BBC America showed it in the U.S. over Christmas.<br /><br />Nathalie Press, who was also so good in \"Summer of Love,\" has a key role in Mr. Harvey's redemption that could have been played for movie-of-the-week preaching, but is touching as they reach out to each other in an unexpected way (unfortunately I saw their intense scene interrupted by commercials).<br /><br />While it is a bit heavy-handed in several times pointedly calling this road trip \"a pilgrimage,\" this quiet film was the best evocation of \"good will towards men\" than I've seen in most holiday-themed TV movies."
"7369_1"	0	"I had a feeling that after \"Submerged\", this one wouldn't be any better... I was right. He must be looking for champagne money, and not care about the final product... his voice gets repeatedly dubbed over by a stranger that sounds nothing like him; the editing is - well - just a grade above amateurish. It's nothing more than a B or C-grade movie with just enough money to hire a couple talented cameramen and an \"OK\" sound designer.<br /><br />Like the previous poster said, the problems seem to appear in post-production (...voice dubbing, etc.) Too bad, cause the plot's actually OK for a SG flick.<br /><br />I'll never rent another SG flick, unless he emails me asking for forgiveness.<br /><br />Too bad - I miss Kelly LeBrock...<br /><br />--jimbo"
"12081_1"	0	"note to George Litman, and others: the Mystery Science Theater 3000 riff is \"I don't think so, *breeder*\".<br /><br />my favorite riff is \"Why were you looking at his 'like'?\", simply for the complete absurdity. that, and \"Right well did not!\" over all, I would say we must give credit to the MST3K crew for trying to ridicule this TV movie. you really can't make much fun of the dialog; Bill S was a good playwright. on the other hand, this production is so bad that even he would disown it. a junior high school drama club could do better.<br /><br />I would recommend that you buy a book and read 'Hamlet'."
"3561_4"	0	"Stephen King adaptation (scripted by King himself) in which a young family, newcomers to rural Maine, find out about the pet cemetery close to their home. The father (Dale Midkiff) then finds out about the Micmac burial ground beyond the pet cemetery that has powers of resurrection - only of course anything buried there comes back not quite RIGHT.<br /><br />Below average \"horror\" picture starts out clumsy, insulting, and inept, and continues that way for a while, with the absolute worst element being Midkiff's worthless performance. It gets a little better toward the end, with genuinely disturbing finale. In point of fact, the whole movie is really disturbing, which is why I can't completely dismiss it - at least it has SOMETHING to make it memorable. Decent supporting performances by Fred Gwynne, as the wise old aged neighbor, and Brad Greenquist, as the disfigured spirit Victor Pascow are not enough to really redeem film.<br /><br />King has his usual cameo as the minister.<br /><br />Followed by a sequel also directed by Mary Lambert (is it any wonder that she's had no mainstream film work since?).<br /><br />4/10"
"4489_1"	0	"`The Matrix' was an exciting summer blockbuster that was visually fantastic but also curiously thought provoking in its `Twilight Zone'-ish manner. The general rule applies here- and this sequel doesn't match up to its predecessor. Worse than that, it doesn't even compare with it.<br /><br />`Reloaded' explodes onto the screen in the most un-professional fashion. In the opening few seconds the first impression is a generally good one as Trinity is shot in a dream. Immediately after that, the film nose-dives. After a disastrous first 45 minutes, it gradually gains momentum when they enter the Matrix and the Agent Smith battle takes place. But it loses itself all speed when it reaches the 14-minute car chase sequence and gets even worse at the big groan-worthy twist at the end. Worst of all is the overlong `Zion Rave' scene. Not only does it have absolutely nothing to do with the plot, but it's also a pathetic excuse for porn and depressive dance music.<br /><br />The bullet-time aspect of `The Matrix' was a good addition, but in `'Reloaded' they overuse to make it seem boring. In the first one there were interesting plot turns, but here it is too linear to be remotely interesting. The movie is basically, just a series of stylish diversions that prevent us from realising just how empty it really is. It works on the incorrect principle that bigger is better. It appears that `The Matrix' franchise has quickly descended into the special effects drenched misfire that other franchises such as the `Star Wars' saga have.<br /><br />The acting standard is poor for the most part. The best character of course goes to Hugo Weaving's `Agent Smith'- the only one to be slightly interesting. Keanu Reeves is the definitive Neo, but in all the special effects, there is little room to make much of an impact. Academy Award Nominee Laurence Fishburne is reduced to a monotonous mentor with poor dialogue. Carrie Ann Moss' part as the action chick could have been done much better by any other actress. <br /><br />A poor, thrown-together movie, `The Matrix Reloaded' is a disappointment. Those who didn't like the first one are unlikely to flock to it. This one's for die-hard fans only. Even in the movie's own sub-genre of special effect bonanzas (Minority Report, The Matrix etc.) this is still rather poor. My IMDb rating: 4.5/10."
"3951_2"	0	"Ulli Lommel's 1980 film 'The Boogey Man' is no classic, but it's an above average low budget chiller that's worth a look. The sequel, 1983s 'Boogey Man II' is ultimately a waste of time, but at the very least it's an entertaining one if not taken the least bit seriously. Now II left the door open for another sequel, and I for one wouldn't have minded seeing at least one more. One day while I was browsing though the videos at a store in the mall I came across a film entitled 'Return of the Boogey Man.' When I found out it was a sequel to the earlier films I was happy to shell out a few bucks for it...I should have known better. Though the opening title is 'Boogey Man 3,' this is no sequel to those two far superior films I named above. Well, not totally anyway.<br /><br />Pros: Ha! That's a laugh. Is there anything good about this hunk of cow dung? Let's see...it has footage from 'The Boogey Man' and, um...it's mercifully short. Yeah, that's about it.<br /><br />Cons: Where to start? Decisions, decisions. First of all, this movie is a total bore. It goes from one scene to the next without anything remotely interesting or scary happening. The acting is stiff at best. The \"actors\" are most likely friends of the director who had no acting experience whatsoever before, and probably none since. The plot is nonexistent and script shoddily written. The direction is just plain awful. The director tries to make the film look all artsy fartsy by making the camera move around, lights flicker, and with filters, but it adds nothing. The music is dull and hard to hear in parts. Ties to the original are botched. Suzanna Love's character was named Lacey, not Natalie! And the events depicted in the beginning of the original did not take place in 1978. Also, if this has a 3 in the title, why is there no mention of what happened in II? Finally, this adds nothing new or interesting to either the series or the genre.<br /><br />Final thoughts: The people behind this waste of time and money should be ashamed of themselves. It's one thing if that had been an original film that was the director's first and sucked. But instead it's supposed to be a sequel to film that is no masterpiece, but is damn sure far more interesting and entertaining than this. If there ever is another sequel, which I doubt it, then it needs to forget this one ever happened and be handled either by Lommel himself or someone who has at least some idea of how to make a decent horror film.<br /><br />My rating: 1/5"
"3304_10"	1	"This movie is one among the very few Indian movies, that would never fade away with the passage of time, nor would its spell binding appeal ever diminish, even as the Indian cinema transforms into the abyss of artificially styled pop culture while drill oriented extras take to enhancing the P.T. styled film songs.<br /><br />The cinematography speaks of the excellent skills of Josef Werching that accentuate the monumental and cinema scope effect of the film in its entirety.<br /><br />Gone are the days of great cinema, when every scene had to be clipped many times and retakes taken before finalizing it, while meticulous attention was paid in crafting and editing the scenes. Some of its poignant scenes are filled with sublime emotional intensity, like the instance, when Meena Kumari refuses to say \"YES\" as an approval for Nikah (Marriage Bond) and climbs down the hill while running berserk in traumatized frenzy. At the moment, Raj Kumar follows her, and a strong gale of wind blew away the veil of Kumari and onto the legs of Kumar........<br /><br />Kamal Amrohi shall always be remembered with golden words in the annals of Indian Cinema's history for endeavoring to complete this movie in a record setting 12 years. He had to manage filming of some of the vital songs without Meena's close ups, because Meena Kumari, the lady in the lead role was terminally ill and fighting for her life in early 1971."
"5625_8"	1	"Attractive Marjorie(Farrah Fawcett)lives in fear after being accosted by a lone biker. She is mortally shaken with the fact her attacker knows her address. As expected, Joe(James Russo), the attacker forces his way into Marjorie's home and subjects her to humiliating terror. Bruised and bloody, Marjorie manages to get an upper hand on her attacker, knocking the living daylights out of the jerk and renders him helpless thanks to wasp spray in his eyes and throat. Hog tied and battered himself, Joe tries to explain himself to Marjorie's roommates(Diana Scarwid and Alfrie Woodard) when they get home. There is almost a hint of mercy, but it is not coming from Marjorie. Should she continue to render her own punishment? Violence, sexual abuse and rough language makes for an R rating. Fawcett really gets away from the ditsy roles that would forever stain her career. Kudos to director Robert M. Young."
"9397_9"	1	"Vaguely reminiscent of great 1940's westerns, like \"The Treasure Of The Sierra Madre\" (1948), \"Red Rock West\" is a story about conscience, greed, and betrayal. Michael (Nicolas Cage) is a down and out, but honest, young man from Texas who goes west in search of work and money. He finds both, but not in the way he had expected.<br /><br />The film's screenplay contains plenty of surprises and plot twists. Excellent cinematography, adroit film editing, and moody western music add tension and suspense. The expansiveness of the big sky country provides a wonderful setting. And the acting ranges from good to excellent, with great performances from Dennis Hopper and J.T. Walsh. Dwight Yoakam's specially recorded country/western song provides the film with a strong finale.<br /><br />Correctly labeled as neo-noir, \"Red Rock West\" strikes me as being something else, as well. The plot is full of amazing coincidences and improbable timing, so much so that others may regard the screenplay as flawed. Ordinarily, I would agree. In this case, however, when combined with the moody atmosphere, and the fact that the small town of Red Rock seems almost empty of normal daily life, the coincidences and unlikely timing suggest a story that, beyond \"noirish\", is ... surreal. It's almost as if fate deliberately intervenes with improbable events so as to force Michael to come to grips with himself. From this point of view, the coincidences are not script flaws at all. They are necessary plot points in a nightmarish story of a young man who must confront his own demons ... disguised as other characters.<br /><br />All we need here is Rod Serling, in a postscript, explaining, in his always clearly enunciated voice, that ... a young man, searching for himself, stops in a small, almost deserted town a thousand miles from nowhere. It's his final layover in a journey to ... the twilight zone."
"5992_7"	1	"I admit I had no idea what to expect before viewing this highly stylized piece. It could have been the cure for a zombie virus or the common cold for all I knew. It began with great visuals, little snippets to grab your attention and cause your imagination to run wild. As it continued I learned quickly through voice overs what was taking place. A nice little neo noir story that I felt was not a waist of a few minutes of my time. The little clues given to the audience through visuals at the beginning give them a sense of accomplishment as they piece together the plot. Along with a nice twist at the end its a cool package overall. The score, though not bad, gave the film almost a music video feel. It just felt a little dated, not adding anything to further the storyline. Some of the performances felt overly dramatic but fit perfectly with the feel of the overall piece. I walk away from this very satisfied. I was given a lot of information in a short period of time but through great editing and voice-over work it didn't feel rushed or pushed. Great job!"
"2488_10"	1	"To me, the final scene, in which Harris responds to the press corp, is worthy of viewing this intelligent and timeless slice of politics(especially the campaign phase). If only the \"real-life\" pols would respond in the intelligent, articulate manner as did Mr Harris,then the arrogant, self-serving members of the press would perhaps think twice before surfacing irrelevant, confrontational \"garbage\" that has absolutely nothing to do with a candidates abilities to effectively handle the challenges of the office for which he/she is pursuing."
"9627_10"	1	"This is by far the funniest short made by the two comic geniuses. From the time they walk in, to the time Hardy just falls off the roof, this keeps me laughing hysterically. I highly suggest that every fan of Laurel and Hardy should see this short. I also recommend all of the Ghost Series. If you are looking for laughs, see this movie and you will be happy."
"3822_2"	0	"To be a Buster Keaton fan is to have your heart broken on a regular basis. Most of us first encounter Keaton in one of the brilliant feature films from his great period of independent production: 'The General', 'The Navigator', 'Sherlock Jnr'. We recognise him as the greatest figure in the entire history of film comedy, and we want to see more of his movies. Here the heartbreak begins. After 'Steamboat Bill Jnr', Keaton's brother-in-law Joseph Schenck pressured him into signing a contract that put Keaton under the control of MGM. Keaton became just one more actor for hire, performing someone else's scripts. Then his alcoholism got worse. After 'Steamboat Bill Jnr', Keaton never again made a truly first-rate film. A couple of sources describe a would-be masterpiece comedy that Keaton claimed he *almost* got to make at MGM: a parody of 'Grand Hotel'. Biographer Tom Dardis has offered convincing evidence that Keaton made up this story.<br /><br />The heartbreak increases because, among the many years of Keaton's long steady decline, he just occasionally came up with a good film ... such as his short comedy 'Grand Slam Opera'. I continue to search for the lost footage of Keaton's dramatic scene with Spencer Tracy in 'It's a Mad Mad World': a sequence in which embittered cop Tracy telephones an old retired crook (Keaton) and tries to recruit his assistance in stealing Smiler Grogan's cash. That footage is almost certainly gone forever, but I keep looking.<br /><br />'Speak Easily', alas, is one of Keaton's films from the beginning of his decline. MGM were trying to build up Jimmy Durante (who, coincidentally, played Smiler Grogan three decades later) as a new comedy star. Unfortunately, MGM tried to build up Durante by teaming him with Keaton, whose style of comedy was simply incompatible with Durante's. (I'm a fan of both.) Throughout his career, Durante was a merciless scene-stealer: commendably, he knew that he was being built up at Keaton's expense, and Keaton was the only co-star whom Durante never attempted to upstage.<br /><br />Keaton was often cast as the victim of extremely cruel machinations. In 'Speak Easily', he plays a didactic and humourless Midwestern college professor named Post (because he's as wooden as one) who receives a letter informing him that he's inherited $750,000, which he must travel to New York City to claim. Does he make a 'phone call to verify this? Does he even check the postmark? No; he takes his life's savings out of the bank and rushes to New York. As soon as he's gone, Post's manservant confesses that he wrote the (fake) letter to jostle Professor Post out of his rut!<br /><br />Post, who thinks he's a 3/4-millionaire, crosses paths with Jimmy Dodge (Durante), who's trying to produce a musical revue but hasn't any money. The characters which these two brilliant comedians are playing onscreen simply fail to intermesh. Keaton is playing one of those eggheads (like Mister Logic in 'Viz') who intellectualises everything. Durante plays one of those annoying hepcats who is incapable of making any straightforward statement because the script requires him always to speak in slang. There's a painfully unfunny dialogue scene in which Durante is trying to talk to Keaton about money, but - instead of coming straight out with it - Durante has to use increasingly contrived slang terms like 'kale', 'cartwheels' and so forth ... while Keaton of course has no idea what Durante's on about. I'll give Keaton credit: his own dry and dusty prairie voice, his flat Kansas accent, is absolutely perfect for the character he's playing here.<br /><br />Sidney Toler, looking much leaner and more handsome here than he would be just a year later, is impressive as the excitable director of the revue bankrolled (on tick) by Professor Post. Henry Armetta, whom I've never found funny, is even less funny than usual here, offering a running gag with a stupid payoff. Thelma Todd impressed me here, in a more villainous version of the role she played in 'Horse Feathers' (a much funnier movie). Edward Brophy, one of my favourite character actors, is wasted.<br /><br />Part of the problem with 'Speak Easily' is that supporting characters behave in completely inappropriate ways. Keaton's lawyer shows up at Durante's theatre with an urgent message for Keaton ... but he isn't there, so the lawyer proceeds to divulge Keaton's personal business to the first total stranger he meets. (Fire that lawyer, Buster!) In another scene, Professor Post - the guy who's perceived as bankrolling this musical - blunders into the chorus girls' changing room, and all the chorus girls immediately squeal and cover themselves. I know for a fact that *modern* chorus girls would never react this way, and I seriously doubt that chorus girls in 1932 behaved that way either ... certainly not in response to the 'angel' controlling their show's pursestrings.<br /><br />SPOILERS COMING. About half an hour into the unfunny 'Speak Easily', the great Jimmy Durante seats himself at the piano, grins into the camera, and does that distinctive little shake of his head as he starts to play a tune. This is the moment when I thought that, at long last, this movie was finally going to settle down to its purpose of entertaining us. Alas, no. Most annoying of all is the ending of this film, which uses the single most hackneyed and implausible cliche in all of comedy: the one in which an utterly incompetent dimwit becomes a star comedian through his own ineptitude. (Keaton would be forced to replay this cliche in a 1955 episode of 'Screen Directors Playhouse'; Chaplin had already used it in 'The Circus'.)<br /><br />I very nearly wept - in anger and sorrow - at the wasted opportunities in 'Speak Easily'. Mostly out of respect for the work that Keaton, Durante, Toler, Brophy and Miss Todd have done elsewhere, I'll rate this movie 2 points out of 10.<br /><br />"
"5983_4"	0	"I was one of those \"few Americans\" that grew up with all of Gerry Andersen's marvelous creations. Thunderbirds was a great series for the time and would have made a great action/adventure movie if only the writers could have figured out where to target it.<br /><br />I expected it to be a romp, but I did not expect it to aim at such a low age group. Like Lost in Space, this could have been both visually stunning and exciting. It should have focused on more action/adventure and the goal of the original series... saving people in trouble.<br /><br />Instead, it focused on Alan saving the day instead of his brothers (who were cast too young anyway vs. the original). The breakout part was Lady Penelope and Parker. I didn't care too much for the characters in the original, but I was grateful for them in the movie. They stole the show!<br /><br />I always enjoyed Thunderbirds more for the high-tech than the stories, and even that did not get enough screen time as far as I was concerned. I would have enjoyed seeing more of the cool gadgets.<br /><br />But then, I'm just a big kid... ;)"
"8021_2"	0	"Visually disjointed and full of itself, the director apparently chose to seek faux-depth to expand a 5 minute plot into an 81 minute snore-fest. <br /><br />The moments that work in this film are VERY limited, and the characters don't even feel real. How could you feel invested in a main protagonist who was made so surreal? <br /><br />Substantively AND stylistically, it all feels like a quirky dream sequence. Jarring irregular camera work, awkward silences and gaps in action, and what's with the little spider image crawling across the screen? Whoever thought of that needs to go back to film school. It added no meaning, just cheese, and didn't even stylistically work with the rest of the film (assuming the film even had a style, which is a close call). What a flop."
"3471_3"	0	"this movie had more holes than a piece of swiss cheese. Ben Affleck was seriously NOT trying to act in any way, shape, or form. He outright sucked. Nothing about the movie was believable. The first problems were in the intro- where the man gives everything of value to the Salvation Army Santa Claus but it doesn't show why. And then the granny sticks her head in the oven- really beautiful, and has absolutely nothing to do with the movie- it's not even in the same tone as the movie. There was no explanation of the motivation for Ben Affleck to choose the house he chose; there was not any believable reactions by the family he chose; and people are swayed here and there without any cause to be swayed (Example: Christina Applegate and Ben Affleck's characters go tobogganing down a steep slope- this is the incident that makes her suddenly fall in love with him. Riiiight...) Anyway, there was a funny moment or two- but they were a rarity in the movie. It seriously needed another rewrite (or 4). Hope you enjoy!"
"6034_10"	1	"Last November, I had a chance to see this film at the Reno Film Festival. I have to say that it was a lot of fun. A few tech errors aside, it was a great experience. I loved the writing and acting, especially from the guy that played the lead role. There is a lot of heart in this movie, a lot of wit to. I got a chance to speak with a few of the filmmakers after it was done, and they seemed real nice. All in all the whole movie was just a positive experience, and one I'd definitely recommend. The story was entertaining and cool, as a woman I've been through a lot of the same problems as the lead guy, and I could really understand his problems because of it. The movie does a great job of giving us people we can sympathize with. The friends in the movie are really well written to, they are realistic. I know people like these, I only wish Imy friends and I could sound as cool as these people when we talk. The whole movie is just real cool, I wish there were more films out there like it.<br /><br />- Jayden"
